Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
PHP,13.41,12.95,13.57,14.18,,2021.04.17 05:30:00
PHP,13.41,12.95,13.57,14.18,,2021.04.17 05:30:00
PHP,13.41,12.95,13.57,14.18,,2021.04.17 04:47:43
PHP,13.41,12.95,13.57,14.18,,2021.04.17 04:47:36
PHP,13.4,12.94,13.56,14.16,,2021.04.17 00:00:05
PHP,13.4,12.94,13.56,14.16,,2021.04.16 23:38:40
PHP,13.4,12.94,13.56,14.16,,2021.04.16 23:38:40
PHP,13.4,12.94,13.56,14.16,,2021.04.16 23:38:40
PHP,13.41,12.95,13.57,14.18,,2021.04.16 23:01:09
PHP,13.4,12.94,13.56,14.16,,2021.04.16 22:55:06
PHP,13.4,12.94,13.56,14.16,,2021.04.16 22:26:37
PHP,13.4,12.94,13.56,14.16,,2021.04.16 21:11:32
PHP,13.39,12.93,13.55,14.15,,2021.04.16 21:01:00
PHP,13.39,12.93,13.55,14.15,,2021.04.16 20:44:05
PHP,13.39,12.93,13.55,14.15,,2021.04.16 20:16:50
PHP,13.4,12.94,13.56,14.16,,2021.04.16 18:30:06
PHP,13.4,12.94,13.56,14.16,,2021.04.16 18:16:12
PHP,13.4,12.94,13.56,14.16,,2021.04.16 17:51:38
PHP,13.4,12.94,13.56,14.16,,2021.04.16 17:48:29
PHP,13.4,12.94,13.56,14.16,,2021.04.16 17:30:32
